id,parent_id:id,code,name,vat_affected,tax_category,internet_available,new_activity
eco_new_acti_01,,A,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",,,,
eco_new_acti_02,,B,EXPLOTACIÓN DE MINAS Y CANTERAS,,,,
eco_new_acti_10,,C,INDUSTRIA MANUFACTURERA,,,,
eco_new_acti_35,,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",,,,
eco_new_acti_36,,E,"SUMINISTRO DE AGUA; EVACUACIÓN DE AGUAS RESIDUALES, GESTIÓN DE DESECHOS Y DESCONTAMINACIÓN",,,,
eco_new_acti_41,,F,CONSTRUCCIÓN,,,,
eco_new_acti_45,,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,,,,
eco_new_acti_49,,H,TRANSPORTE Y ALMACENAMIENTO,,,,
eco_new_acti_55,,I,ACTIVIDADES DE ALOJAMIENTO Y SERVICIO DE COMIDAS,,,,
eco_new_acti_59,,J,INFORMACIÓN Y COMUNICACIONES,,,,
eco_new_acti_64,,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS,,,,
eco_new_acti_68,,L,ACTIVIDADES INMOBILIARIAS,,,,
eco_new_acti_69,,M,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS",,,,
eco_new_acti_77,,N,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,,,,
eco_new_acti_84,,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,,,
eco_new_acti_85,,P,ENSEÑANZA,,,,
eco_new_acti_86,,Q,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,,,,
eco_new_acti_90,,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",,,,
eco_new_acti_94,,S,OTRAS ACTIVIDADES DE SERVICIOS,,,,
eco_new_acti_97,,T,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO,,,,
eco_new_acti_99,,U,ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,,,,
eco_new_acti_011,eco_new_acti_01,011,CULTIVO DE PLANTAS NO PERENNES,,,,
eco_new_acti_012,eco_new_acti_01,012,CULTIVO DE PLANTAS PERENNES,,,,
eco_new_acti_013,eco_new_acti_01,013,PROPAGACIÓN DE PLANTAS,,,,
eco_new_acti_014,eco_new_acti_01,014,GANADERÍA ,,,,
eco_new_acti_015,eco_new_acti_01,015,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES ,,,,
eco_new_acti_016,eco_new_acti_01,016,ACTIVIDADES DE APOYO A LA AGRICULTURA Y LA GANADERÍA Y ACTIVIDADES POSCOSECHA  ,,,,
eco_new_acti_017,eco_new_acti_01,017,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS            ,,,,
eco_new_acti_021,eco_new_acti_01,021,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES                 ,,,,
eco_new_acti_022,eco_new_acti_01,022,EXTRACCIÓN DE MADERA                   ,,,,
eco_new_acti_023,eco_new_acti_01,023,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA              ,,,,
eco_new_acti_024,eco_new_acti_01,024,SERVICIOS DE APOYO A LA SILVICULTURA                ,,,,
eco_new_acti_031,eco_new_acti_01,031,PESCA                     ,,,,
eco_new_acti_032,eco_new_acti_01,032,ACUICULTURA                     ,,,,
eco_new_acti_040,eco_new_acti_02,040,EXTRACCIÓN Y PROCESAMIENTO DE COBRE                 ,,,,
eco_new_acti_051,eco_new_acti_02,051,EXTRACCIÓN DE CARBÓN DE PIEDRA                ,,,,
eco_new_acti_052,eco_new_acti_02,052,EXTRACCIÓN DE LIGNITO                   ,,,,
eco_new_acti_061,eco_new_acti_02,061,EXTRACCIÓN DE PETRÓLEO CRUDO                  ,,,,
eco_new_acti_062,eco_new_acti_02,062,EXTRACCIÓN DE GAS NATURAL                  ,,,,
eco_new_acti_071,eco_new_acti_02,071,EXTRACCIÓN DE MINERALES DE HIERRO                 ,,,,
eco_new_acti_081,eco_new_acti_02,081,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA                ",,,,
eco_new_acti_089,eco_new_acti_02,089,EXPLOTACIÓN DE MINAS Y CANTERAS N.C.P.                ,,,,
eco_new_acti_091,eco_new_acti_02,091,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL           ,,,,
eco_new_acti_099,eco_new_acti_02,099,ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS           ,,,,
eco_new_acti_101,eco_new_acti_10,101,ELABORACIÓN Y CONSERVACIÓN DE CARNE                 ,,,,
eco_new_acti_102,eco_new_acti_10,102,"ELABORACIÓN Y CONSERVACIÓN DE PESCADO, CRUSTÁCEOS Y MOLUSCOS              ",,,,
eco_new_acti_103,eco_new_acti_10,103,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS              ",,,,
eco_new_acti_104,eco_new_acti_10,104,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL            ,,,,
eco_new_acti_105,eco_new_acti_10,105,ELABORACIÓN DE PRODUCTOS LÁCTEOS                  ,,,,
eco_new_acti_106,eco_new_acti_10,106,"ELABORACIÓN DE PRODUCTOS DE MOLINERÍA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN           ",,,,
eco_new_acti_107,eco_new_acti_10,107,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS                 ,,,,
eco_new_acti_108,eco_new_acti_10,108,ELABORACIÓN DE PIENSOS PREPARADOS PARA ANIMALES                ,,,,
eco_new_acti_110,eco_new_acti_10,110,ELABORACIÓN DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS               ,,,,
eco_new_acti_120,eco_new_acti_10,120,ELABORACIÓN DE PRODUCTOS DE TABACO                 ,,,,
eco_new_acti_131,eco_new_acti_10,131,"HILATURA, TEJEDURA Y ACABADO DE PRODUCTOS TEXTILES               ",,,,
eco_new_acti_139,eco_new_acti_10,139,FABRICACIÓN DE OTROS PRODUCTOS TEXTILES                 ,,,,
eco_new_acti_141,eco_new_acti_10,141,"FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL            ",,,,
eco_new_acti_142,eco_new_acti_10,142,FABRICACIÓN DE ARTÍCULOS DE PIEL                 ,,,,
eco_new_acti_143,eco_new_acti_10,143,FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO               ,,,,
eco_new_acti_151,eco_new_acti_10,151,CURTIDO Y ADOBO DE CUEROS; FABRICACIÓN PRODUCTOS DE CUERO; ADOBO Y TEÑIDO DE PIELES,,,,
eco_new_acti_152,eco_new_acti_10,152,FABRICACIÓN DE CALZADO                   ,,,,
eco_new_acti_161,eco_new_acti_10,161,ASERRADO Y ACEPILLADURA DE MADERA                 ,,,,
eco_new_acti_162,eco_new_acti_10,162,"FABRICACIÓN DE PRODUCTOS DE MADERA, CORCHO, PAJA Y MATERIALES TRENZABLES            ",,,,
eco_new_acti_170,eco_new_acti_10,170,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL              ,,,,
eco_new_acti_181,eco_new_acti_10,181,IMPRESIÓN Y ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESIÓN             ,,,,
eco_new_acti_182,eco_new_acti_10,182,REPRODUCCIÓN DE GRABACIONES                   ,,,,
eco_new_acti_191,eco_new_acti_10,191,FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE               ,,,,
eco_new_acti_192,eco_new_acti_10,192,FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO              ,,,,
eco_new_acti_201,eco_new_acti_10,201,"FABRICACIÓN SUSTANCIAS QUÍMICAS BÁSICAS, ABONOS Y COMPUESTOS DE NITRÓGENO, PLÁSTICOS Y CAUCHO SINT.",,,,
eco_new_acti_202,eco_new_acti_10,202,FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS                 ,,,,
eco_new_acti_203,eco_new_acti_10,203,FABRICACIÓN DE FIBRAS ARTIFICIALES                  ,,,,
eco_new_acti_210,eco_new_acti_10,210,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS",,,,
eco_new_acti_221,eco_new_acti_10,221,FABRICACIÓN DE PRODUCTOS DE CAUCHO                 ,,,,
eco_new_acti_222,eco_new_acti_10,222,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO                 ,,,,
eco_new_acti_231,eco_new_acti_10,231,FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO               ,,,,
eco_new_acti_239,eco_new_acti_10,239,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS N.C.P.               ,,,,
eco_new_acti_241,eco_new_acti_10,241,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO                ,,,,
eco_new_acti_242,eco_new_acti_10,242,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y OTROS METALES NO FERROSOS          ,,,,
eco_new_acti_243,eco_new_acti_10,243,FUNDICIÓN DE METALES                   ,,,,
eco_new_acti_251,eco_new_acti_10,251,"FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL, TANQUES, DEPÓSITOS, RECIPIENTES DE METAL",,,,
eco_new_acti_252,eco_new_acti_10,252,FABRICACIÓN DE ARMAS Y MUNICIONES                 ,,,,
eco_new_acti_259,eco_new_acti_10,259,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL; ACTIVIDADES DE SERVICIOS DE TRABAJO DE METALES,,,,
eco_new_acti_261,eco_new_acti_10,261,FABRICACIÓN DE COMPONENTES Y TABLEROS ELECTRÓNICOS                ,,,,
eco_new_acti_262,eco_new_acti_10,262,FABRICACIÓN DE COMPUTADORES Y EQUIPO PERIFÉRICO                ,,,,
eco_new_acti_263,eco_new_acti_10,263,FABRICACIÓN DE EQUIPO DE COMUNICACIONES                 ,,,,
eco_new_acti_264,eco_new_acti_10,264,FABRICACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO                ,,,,
eco_new_acti_265,eco_new_acti_10,265,"FABRICACIÓN DE EQUIPO DE MEDICIÓN, PRUEBA, NAVEGACIÓN Y CONTROL Y DE RELOJES          ",,,,
eco_new_acti_266,eco_new_acti_10,266,FABRICACIÓN DE EQUIPO DE IRRADIACIÓN Y EQUIPO ELECTRÓNICO DE USO MÉDICO Y TERAPÉUTICO         ,,,,
eco_new_acti_267,eco_new_acti_10,267,FABRICACIÓN DE INSTRUMENTOS ÓPTICOS Y EQUIPO FOTOGRÁFICO               ,,,,
eco_new_acti_268,eco_new_acti_10,268,FABRICACIÓN DE SOPORTES MAGNÉTICOS Y ÓPTICOS                ,,,,
eco_new_acti_271,eco_new_acti_10,271,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS, APARATOS DE DISTRIBUCIÓN Y CONTROL",,,,
eco_new_acti_272,eco_new_acti_10,272,"FABRICACIÓN DE PILAS, BATERÍAS Y ACUMULADORES                ",,,,
eco_new_acti_273,eco_new_acti_10,273,FABRICACIÓN DE CABLES Y DISPOSITIVOS DE CABLEADO               ,,,,
eco_new_acti_274,eco_new_acti_10,274,FABRICACIÓN DE EQUIPO ELÉCTRICO DE ILUMINACIÓN                ,,,,
eco_new_acti_275,eco_new_acti_10,275,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO                ,,,,
eco_new_acti_279,eco_new_acti_10,279,FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO               ,,,,
eco_new_acti_281,eco_new_acti_10,281,FABRICACIÓN DE MAQUINARIA DE USO GENERAL                ,,,,
eco_new_acti_282,eco_new_acti_10,282,FABRICACIÓN DE MAQUINARIA DE USO ESPECIAL                ,,,,
eco_new_acti_291,eco_new_acti_10,291,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES                  ,,,,
eco_new_acti_292,eco_new_acti_10,292,FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES; FABRICACIÓN DE REMOLQUES Y SEMIRREMOLQUES,,,,
eco_new_acti_293,eco_new_acti_10,293,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES             ",,,,
eco_new_acti_301,eco_new_acti_10,301,CONSTRUCCIÓN DE BUQUES Y OTRAS EMBARCACIONES                ,,,,
eco_new_acti_302,eco_new_acti_10,302,FABRICACIÓN DE LOCOMOTORAS Y MATERIAL RODANTE                ,,,,
eco_new_acti_303,eco_new_acti_10,303,"FABRICACIÓN DE AERONAVES, NAVES ESPACIALES Y MAQUINARIA CONEXA              ",,,,
eco_new_acti_304,eco_new_acti_10,304,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE                ,,,,
eco_new_acti_309,eco_new_acti_10,309,FABRICACIÓN DE EQUIPO DE TRANSPORTE N.C.P.                ,,,,
eco_new_acti_310,eco_new_acti_10,310,FABRICACIÓN DE MUEBLES                   ,,,,
eco_new_acti_321,eco_new_acti_10,321,"FABRICACIÓN DE JOYAS, BISUTERÍA Y ARTÍCULOS CONEXOS               ",,,,
eco_new_acti_322,eco_new_acti_10,322,FABRICACIÓN DE INSTRUMENTOS MUSICALES                  ,,,,
eco_new_acti_323,eco_new_acti_10,323,FABRICACIÓN DE ARTÍCULOS DE DEPORTE                 ,,,,
eco_new_acti_324,eco_new_acti_10,324,FABRICACIÓN DE JUEGOS Y JUGUETES                 ,,,,
eco_new_acti_325,eco_new_acti_10,325,FABRICACIÓN DE INSTRUMENTOS Y MATERIALES MÉDICOS Y ODONTOLÓGICOS              ,,,,
eco_new_acti_329,eco_new_acti_10,329,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P.                  ,,,,
eco_new_acti_331,eco_new_acti_10,331,"REPARACIÓN DE PRODUCTOS ELABORADOS DE METAL, MAQUINARIA Y EQUIPO             ",,,,
eco_new_acti_332,eco_new_acti_10,332,INSTALACIÓN DE MAQUINARIA Y EQUIPOS INDUSTRIALES                ,,,,
eco_new_acti_351,eco_new_acti_35,351,"GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA               ",,,,
eco_new_acti_352,eco_new_acti_35,352,FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS             ,,,,
eco_new_acti_353,eco_new_acti_35,353,SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO               ,,,,
eco_new_acti_360,eco_new_acti_36,360,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA                ",,,,
eco_new_acti_370,eco_new_acti_36,370,EVACUACIÓN DE AGUAS RESIDUALES                  ,,,,
eco_new_acti_381,eco_new_acti_36,381,RECOGIDA DE DESECHOS                   ,,,,
eco_new_acti_382,eco_new_acti_36,382,TRATAMIENTO Y ELIMINACIÓN DE DESECHOS                 ,,,,
eco_new_acti_383,eco_new_acti_36,383,RECUPERACIÓN DE MATERIALES                   ,,,,
eco_new_acti_390,eco_new_acti_36,390,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS            ,,,,
eco_new_acti_410,eco_new_acti_41,410,CONSTRUCCIÓN DE EDIFICIOS                   ,,,,
eco_new_acti_421,eco_new_acti_41,421,CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL               ,,,,
eco_new_acti_422,eco_new_acti_41,422,CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO                ,,,,
eco_new_acti_429,eco_new_acti_41,429,CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL               ,,,,
eco_new_acti_431,eco_new_acti_41,431,DEMOLICIÓN Y PREPARACIÓN DEL TERRENO                 ,,,,
eco_new_acti_432,eco_new_acti_41,432,"INSTALACIONES ELÉCTRICAS, DE GASFITERÍA Y OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN ",,,,
eco_new_acti_433,eco_new_acti_41,433,TERMINACIÓN Y ACABADO DE EDIFICIOS                 ,,,,
eco_new_acti_439,eco_new_acti_41,439,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN                 ,,,,
eco_new_acti_451,eco_new_acti_45,451,VENTA DE VEHÍCULOS AUTOMOTORES                  ,,,,
eco_new_acti_452,eco_new_acti_45,452,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES                ,,,,
eco_new_acti_453,eco_new_acti_45,453,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES             ",,,,
eco_new_acti_454,eco_new_acti_45,454,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y SUS PARTES, PIEZAS Y ACCESORIOS          ",,,,
eco_new_acti_461,eco_new_acti_45,461,VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA          ,,,,
eco_new_acti_462,eco_new_acti_45,462,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS           ,,,,
eco_new_acti_463,eco_new_acti_45,463,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO             ",,,,
eco_new_acti_464,eco_new_acti_45,464,VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS               ,,,,
eco_new_acti_465,eco_new_acti_45,465,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES             ",,,,
eco_new_acti_466,eco_new_acti_45,466,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA              ,,,,
eco_new_acti_469,eco_new_acti_45,469,VENTA AL POR MAYOR NO ESPECIALIZADA                ,,,,
eco_new_acti_471,eco_new_acti_45,471,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS              ,,,,
eco_new_acti_472,eco_new_acti_45,472,"VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS          ",,,,
eco_new_acti_473,eco_new_acti_45,473,VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS          ,,,,
eco_new_acti_475,eco_new_acti_45,475,VENTA AL POR MENOR DE OTROS ENSERES DOMÉSTICOS EN COMERCIOS ESPECIALIZADOS           ,,,,
eco_new_acti_476,eco_new_acti_45,476,VENTA AL POR MENOR DE PRODUCTOS CULTURALES Y RECREATIVOS EN COMERCIOS ESPECIALIZADOS          ,,,,
eco_new_acti_477,eco_new_acti_45,477,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS            ,,,,
eco_new_acti_478,eco_new_acti_45,478,VENTA AL POR MENOR EN PUESTOS DE VENTA Y MERCADOS            ,,,,
eco_new_acti_479,eco_new_acti_45,479,"VENTA AL POR MENOR NO REALIZADA EN COMERCIOS, PUESTOS DE VENTA O MERCADOS         ",,,,
eco_new_acti_491,eco_new_acti_49,491,TRANSPORTE POR FERROCARRIL                   ,,,,
